Customer_ID,Total_Months,Active_Months,Inactive_Months,Reliability_Score,Reliability_Band,Total_Spend,Final_Avg_Spent,Total_Transaction_Value,Unique_Invoice_Count,Average_Invoice_Value,Monthly_Value_CV,Recency_Days,Customer_Lifetime_Months,Purchase_Frequency,First_Purchase_Date,Last_Purchase_Date,Spend_Trend,Trend_Status,Cluster,Customer_Segment,Risk_Level
12380,9,4,5,44.44,At Risk,4277.57,15.1151,7888.0,15,525.87,1.9297,43,23,0.6522,2010-02-15,2011-11-18,2.375,Increasing,0,"High-Value, Reliable, Recent",Medium Risk
12381,4,1,3,25.0,Likely to Exit,417.04,4.5829,1803.96,6,300.66,1.2858,26,5,1.2,2011-08-12,2011-12-05,,Insufficient History,0,"High-Value, Reliable, Recent",High Risk
12382,1,0,1,0.0,Likely to Exit,18.38,18.38,-18.38,1,-18.38,0.0,704,24,0.0417,2010-01-26,2010-01-26,,Insufficient History,3,"Low-Value, Reliable, Lapsed",High Risk
12383,5,0,5,0.0,Likely to Exit,309.36,3.0936,1839.31,6,306.55,1.6055,206,13,0.4615,2010-12-22,2011-06-08,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12384,3,2,1,66.67,Likely to Stay,227.27,7.5757,566.16,3,188.72,1.2247,50,5,0.6,2011-08-10,2011-11-11,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12385,1,1,0,100.0,Very Loyal,254.25,3.8523,1923.4,2,961.7,3.6056,401,14,0.1429,2010-11-25,2010-11-25,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Low Risk
12386,2,0,2,0.0,Likely to Exit,45.72,2.54,660.8,2,330.4,2.7552,359,13,0.1538,2010-12-08,2011-01-06,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12387,1,0,1,0.0,Likely to Exit,24.86,2.7622,143.94,1,143.94,3.7417,437,15,0.0667,2010-10-20,2010-10-20,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12388,8,1,7,12.5,Likely to Exit,412.41,2.8247,3901.11,8,487.64,1.4991,37,20,0.4,2010-05-06,2011-11-24,0.166,Declining,0,"High-Value, Reliable, Recent",High Risk
12389,3,0,3,0.0,Likely to Exit,130.06,2.6543,1433.33,3,477.78,3.0917,424,23,0.1304,2010-02-22,2010-11-02,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12390,1,1,0,100.0,Very Loyal,127.9,3.9969,549.84,1,549.84,1.7321,101,4,0.25,2011-09-21,2011-09-21,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12391,5,4,1,80.0,Very Loyal,1074.0,3.7422,2747.82,7,392.55,2.406,43,23,0.3043,2010-02-15,2011-11-18,,Insufficient History,0,"High-Value, Reliable, Recent",Low Risk
12392,1,0,1,0.0,Likely to Exit,35.25,5.0357,234.75,1,234.75,4.4721,613,21,0.0476,2010-04-27,2010-04-27,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12393,5,0,5,0.0,Likely to Exit,283.8,2.5339,2376.75,7,339.54,1.4708,94,15,0.4667,2010-10-07,2011-09-28,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12394,2,0,2,0.0,Likely to Exit,91.01,3.3707,1272.48,2,636.24,1.9088,85,8,0.25,2011-05-06,2011-10-07,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12395,12,4,8,33.33,Likely to Exit,920.24,3.5807,5046.92,18,280.38,1.3737,37,21,0.8571,2010-04-16,2011-11-24,6.728,Increasing,0,"High-Value, Reliable, Recent",Medium Risk
12396,1,1,0,100.0,Very Loyal,149.46,2.2994,931.43,1,931.43,4.6904,696,23,0.0435,2010-02-03,2010-02-03,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Low Risk
12397,2,2,0,100.0,Very Loyal,437.0,3.4683,2409.9,2,1204.95,1.4143,57,6,0.3333,2011-07-27,2011-11-04,0.984,Stable,0,"High-Value, Reliable, Recent",Low Risk
12398,1,1,0,100.0,Very Loyal,169.38,1.9927,1635.66,1,1635.66,1.4142,67,3,0.3333,2011-10-25,2011-10-25,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12399,7,0,7,0.0,Likely to Exit,224.56,2.0415,1962.3,7,280.33,1.6077,141,22,0.3182,2010-03-05,2011-08-12,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12400,1,0,1,0.0,Likely to Exit,32.05,2.9136,205.25,1,205.25,3.7417,436,15,0.0667,2010-10-21,2010-10-21,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12401,1,0,1,0.0,Likely to Exit,48.4,9.68,84.3,1,84.3,3.1623,325,11,0.0909,2011-02-09,2011-02-09,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12402,6,0,6,0.0,Likely to Exit,244.1,3.438,1244.15,7,177.74,1.7591,345,23,0.3043,2010-02-07,2011-01-20,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12403,2,0,2,0.0,Likely to Exit,81.93,8.193,1001.36,3,333.79,2.8693,71,18,0.1667,2010-07-06,2011-10-21,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12404,1,0,1,0.0,Likely to Exit,63.24,63.24,63.24,1,63.24,4.7958,704,24,0.0417,2010-01-26,2010-01-26,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12405,1,1,0,100.0,Very Loyal,191.39,3.5443,1710.39,1,1710.39,2.2361,170,6,0.1667,2011-07-14,2011-07-14,0.0,Declining,1,"Mid-Value, Unreliable, Recent",Low Risk
12406,6,2,4,33.33,Likely to Exit,472.46,2.7792,6072.21,7,867.46,2.0703,44,24,0.2917,2010-01-11,2011-11-17,-13.334,Declining,0,"High-Value, Reliable, Recent",Medium Risk
12407,4,1,3,25.0,Likely to Exit,251.59,3.2674,1708.12,5,341.62,1.6068,71,10,0.5,2011-03-20,2011-10-21,0.33,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12408,8,2,6,25.0,Likely to Exit,529.03,3.1119,4279.64,14,305.69,1.4133,54,18,0.7778,2010-07-29,2011-11-07,1.151,Increasing,0,"High-Value, Reliable, Recent",High Risk
12409,7,4,3,57.14,At Risk,879.67,3.2341,23090.47,13,1776.19,1.9888,100,20,0.65,2010-05-23,2011-09-22,0.0,Declining,0,"High-Value, Reliable, Recent",Medium Risk
12410,2,1,1,50.0,At Risk,252.84,6.02,1001.46,4,250.37,3.0361,323,18,0.2222,2010-07-25,2011-02-11,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Medium Risk
12411,1,0,1,0.0,Likely to Exit,74.7,3.3955,346.9,1,346.9,3.7417,431,15,0.0667,2010-10-26,2010-10-26,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12412,6,0,6,0.0,Likely to Exit,337.41,2.5756,2581.03,8,322.63,1.5991,96,19,0.4211,2010-06-18,2011-09-26,0.0,Declining,0,"High-Value, Reliable, Recent",High Risk
12413,4,2,2,50.0,At Risk,328.99,6.2074,935.5,6,155.92,1.9143,88,14,0.4286,2010-11-02,2011-10-04,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Medium Risk
12414,4,1,3,25.0,Likely to Exit,631.34,17.0632,692.41,8,86.55,1.9039,239,16,0.5,2010-09-02,2011-05-06,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12415,15,9,6,60.0,Likely to Stay,3151.84,3.1837,143269.29,33,4341.49,1.0566,46,19,1.7368,2010-06-30,2011-11-15,0.811,Declining,0,"High-Value, Reliable, Recent",Low Risk
12416,1,0,1,0.0,Likely to Exit,16.88,1.5345,202.56,1,202.56,4.6904,678,23,0.0435,2010-02-21,2010-02-21,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12417,18,9,9,50.0,At Risk,2094.56,5.4975,6708.21,27,248.45,0.9472,25,25,1.08,2009-12-06,2011-12-06,0.885,Declining,0,"High-Value, Reliable, Recent",Medium Risk
12418,5,1,4,20.0,Likely to Exit,345.48,3.3542,2016.95,5,403.39,2.1896,134,22,0.2273,2010-03-19,2011-08-19,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12419,2,0,2,0.0,Likely to Exit,126.09,5.0436,503.01,2,251.5,2.6654,407,15,0.1333,2010-10-22,2010-11-19,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12420,1,1,0,100.0,Very Loyal,136.51,4.7072,600.39,1,600.39,1.4142,85,3,0.3333,2011-10-07,2011-10-07,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12421,6,0,6,0.0,Likely to Exit,312.14,4.6588,1092.83,8,136.6,1.5073,37,18,0.4444,2010-07-22,2011-11-24,0.77,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12422,11,3,8,27.27,Likely to Exit,2845.02,16.1649,4119.35,21,196.16,1.6556,117,25,0.84,2009-12-18,2011-09-05,0.0,Declining,0,"High-Value, Reliable, Recent",High Risk
12423,11,0,11,0.0,Likely to Exit,490.94,2.9575,2612.19,11,237.47,0.9712,22,17,0.6471,2010-08-31,2011-12-09,1.105,Increasing,0,"High-Value, Reliable, Recent",High Risk
12424,4,0,4,0.0,Likely to Exit,222.5,2.2938,3289.78,7,469.97,3.0447,184,25,0.28,2009-12-07,2011-06-30,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12425,3,1,2,33.33,Likely to Exit,228.19,2.402,1680.81,3,560.27,2.6631,100,16,0.1875,2010-09-17,2011-09-22,0.0,Declining,1,"Mid-Value, Unreliable, Recent",Medium Risk
12426,3,2,1,66.67,Likely to Stay,296.81,3.6196,1311.41,3,437.14,3.2719,216,23,0.1304,2010-02-15,2011-05-29,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12427,3,1,2,33.33,Likely to Exit,210.42,4.676,1011.87,5,202.37,2.0385,33,13,0.3846,2010-12-03,2011-11-28,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Medium Risk
12428,5,3,2,60.0,Likely to Stay,1418.79,4.7293,7877.2,12,656.43,2.1765,47,10,1.2,2011-03-01,2011-11-14,0.331,Declining,0,"High-Value, Reliable, Recent",Low Risk
12429,7,2,5,28.57,Likely to Exit,577.32,3.3179,7435.51,9,826.17,1.7443,31,19,0.4737,2010-06-11,2011-11-30,,Insufficient History,0,"High-Value, Reliable, Recent",High Risk
12430,1,0,1,0.0,Likely to Exit,68.48,6.2255,256.4,1,256.4,1.4142,65,3,0.3333,2011-10-27,2011-10-27,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12431,18,7,11,38.89,Likely to Exit,1580.53,3.8269,10719.41,33,324.83,0.9431,57,24,1.375,2010-01-15,2011-11-04,0.961,Stable,0,"High-Value, Reliable, Recent",Medium Risk
12432,2,1,1,50.0,At Risk,1139.49,10.5508,5059.32,5,1011.86,1.926,64,7,0.7143,2011-06-20,2011-10-28,,Insufficient History,0,"High-Value, Reliable, Recent",Medium Risk
12433,8,8,0,100.0,Very Loyal,1649.61,2.3333,20428.86,11,1857.17,1.5872,22,17,0.6471,2010-08-20,2011-12-09,2.677,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12434,5,0,5,0.0,Likely to Exit,266.25,3.598,1062.48,5,212.5,2.0165,106,14,0.3571,2010-11-23,2011-09-16,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12435,6,1,5,16.67,Likely to Exit,417.66,3.7291,13925.93,6,2320.99,2.0993,101,25,0.24,2009-12-02,2011-09-21,0.0,Declining,0,"High-Value, Reliable, Recent",High Risk
12436,1,0,1,0.0,Likely to Exit,84.28,5.2675,509.01,1,509.01,1.7321,121,4,0.25,2011-09-01,2011-09-01,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12437,20,9,11,45.0,At Risk,2003.68,3.4368,12394.85,47,263.72,0.8967,23,25,1.88,2009-12-02,2011-12-08,3.441,Increasing,0,"High-Value, Reliable, Recent",Medium Risk
12438,2,2,0,100.0,Very Loyal,381.7,3.8949,2906.85,2,1453.43,1.5655,36,6,0.3333,2011-07-22,2011-11-25,2.266,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12439,2,1,1,50.0,At Risk,271.46,3.6195,1104.48,3,368.16,4.5733,704,25,0.12,2009-12-14,2010-01-26,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Medium Risk
12440,2,0,2,0.0,Likely to Exit,189.79,5.4226,768.15,3,256.05,3.5787,479,25,0.12,2009-12-22,2010-09-08,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12441,1,0,1,0.0,Likely to Exit,81.42,3.7009,347.1,1,347.1,3.4641,388,13,0.0769,2010-12-08,2010-12-08,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12442,1,0,1,0.0,Likely to Exit,40.08,3.34,172.06,1,172.06,0.0,25,1,1.0,2011-12-06,2011-12-06,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12443,1,1,0,100.0,Very Loyal,123.28,5.8705,485.31,1,485.31,4.899,754,25,0.04,2009-12-07,2009-12-07,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Low Risk
12444,5,5,0,100.0,Very Loyal,1119.13,6.3228,5005.46,5,1001.09,0.8287,43,7,0.7143,2011-06-21,2011-11-18,1.376,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12445,3,0,3,0.0,Likely to Exit,91.54,3.6616,426.48,3,142.16,2.7606,44,15,0.2,2010-10-15,2011-11-17,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12446,1,1,0,100.0,Very Loyal,248.1,4.2776,1002.31,1,1002.31,1.4142,79,3,0.3333,2011-10-13,2011-10-13,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12447,1,0,1,0.0,Likely to Exit,92.93,3.5742,476.49,1,476.49,2.8284,265,9,0.1111,2011-04-10,2011-04-10,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12448,1,1,0,100.0,Very Loyal,130.94,5.9518,449.45,1,449.45,1.4142,66,3,0.3333,2011-10-26,2011-10-26,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12449,6,4,2,66.67,Likely to Stay,732.62,3.6449,4835.89,6,805.98,1.5107,44,16,0.375,2010-09-27,2011-11-17,0.72,Declining,0,"High-Value, Reliable, Recent",Low Risk
12450,5,0,5,0.0,Likely to Exit,90.48,2.262,666.95,7,95.28,1.7025,178,17,0.4118,2010-08-22,2011-07-06,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12451,8,6,2,75.0,Likely to Stay,1229.25,2.3915,12546.53,10,1254.65,1.5565,32,19,0.5263,2010-06-28,2011-11-29,-36.546,Declining,0,"High-Value, Reliable, Recent",Low Risk
12452,1,0,1,0.0,Likely to Exit,99.67,4.3335,428.57,3,142.86,1.0,38,2,1.5,2011-11-23,2011-11-23,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12453,1,1,0,100.0,Very Loyal,102.91,2.3933,707.09,1,707.09,2.2361,156,6,0.1667,2011-07-28,2011-07-28,0.0,Declining,1,"Mid-Value, Unreliable, Recent",Low Risk
12454,4,2,2,50.0,At Risk,581.72,8.0794,4292.71,9,476.97,2.9313,75,24,0.375,2010-01-26,2011-10-17,,Insufficient History,0,"High-Value, Reliable, Recent",Medium Risk
12455,9,1,8,11.11,Likely to Exit,888.71,3.915,5879.95,10,588.0,1.9877,95,25,0.4,2009-12-18,2011-09-27,0.0,Declining,0,"High-Value, Reliable, Recent",High Risk
12456,4,3,1,75.0,Likely to Stay,461.37,3.5765,3153.89,4,788.47,1.5613,66,10,0.4,2011-03-30,2011-10-26,0.705,Declining,0,"High-Value, Reliable, Recent",Low Risk
12457,6,3,3,50.0,At Risk,520.65,5.5984,2472.31,14,176.59,1.9921,80,16,0.875,2010-09-30,2011-10-12,-0.013,Declining,0,"High-Value, Reliable, Recent",Medium Risk
12458,4,1,3,25.0,Likely to Exit,333.05,3.9649,1777.49,4,444.37,1.8144,93,17,0.2353,2010-08-09,2011-09-29,0.0,Declining,1,"Mid-Value, Unreliable, Recent",High Risk
12459,1,0,1,0.0,Likely to Exit,95.42,4.1487,454.36,1,454.36,4.4721,627,21,0.0476,2010-04-13,2010-04-13,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12460,1,0,1,0.0,Likely to Exit,78.86,4.3811,326.65,1,326.65,3.873,478,16,0.0625,2010-09-09,2010-09-09,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12461,2,1,1,50.0,At Risk,149.06,4.2589,826.88,2,413.44,1.6732,116,6,0.3333,2011-07-08,2011-09-06,0.0,Declining,1,"Mid-Value, Unreliable, Recent",Medium Risk
12462,3,2,1,66.67,Likely to Stay,332.42,4.6169,1124.01,4,281.0,2.2215,24,11,0.3636,2011-02-09,2011-12-07,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12463,4,0,4,0.0,Likely to Exit,269.91,3.0672,1303.63,7,186.23,1.123,68,9,0.7778,2011-04-12,2011-10-24,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12464,5,1,4,20.0,Likely to Exit,343.15,11.8328,1212.05,8,151.51,1.3845,32,11,0.7273,2011-02-03,2011-11-29,1.831,Increasing,1,"Mid-Value, Unreliable, Recent",High Risk
12465,3,0,3,0.0,Likely to Exit,138.02,2.7063,733.89,3,244.63,1.6199,29,7,0.4286,2011-06-23,2011-12-02,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
12466,1,0,1,0.0,Likely to Exit,56.73,56.73,56.73,1,56.73,4.7958,704,24,0.0417,2010-01-26,2010-01-26,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12467,2,0,2,0.0,Likely to Exit,29.12,1.6178,0.0,2,0.0,3.7417,408,15,0.1333,2010-10-12,2010-11-18,,Insufficient History,3,"Low-Value, Reliable, Lapsed",High Risk
12468,7,2,5,28.57,Likely to Exit,456.8,2.8025,3624.55,10,362.46,2.6291,165,24,0.4167,2010-01-19,2011-07-19,-0.0,Declining,0,"High-Value, Reliable, Recent",High Risk
12469,2,1,1,50.0,At Risk,227.97,2.9996,3070.54,2,1535.27,3.0358,544,19,0.1053,2010-06-21,2010-07-05,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",Medium Risk
12470,1,0,1,0.0,Likely to Exit,90.35,3.9283,211.95,1,211.95,4.7958,711,24,0.0417,2010-01-19,2010-01-19,,Insufficient History,2,"Mid-Value, Unreliable, Lapsed",High Risk
12471,24,20,4,83.33,Very Loyal,5030.59,3.8756,37948.61,129,294.18,0.6832,24,25,5.16,2009-12-02,2011-12-07,2.393,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12472,19,12,7,63.16,Likely to Stay,2527.05,2.409,16956.69,37,458.29,1.0593,52,25,1.48,2009-12-09,2011-11-09,2.736,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12473,4,3,1,75.0,Likely to Stay,2437.84,13.6192,2848.23,9,316.47,1.061,51,7,1.2857,2011-06-01,2011-11-10,3.382,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12474,20,9,11,45.0,At Risk,2297.93,3.0078,11966.45,54,221.6,0.9071,39,23,2.3478,2010-02-11,2011-11-22,2.549,Increasing,0,"High-Value, Reliable, Recent",Medium Risk
12475,2,1,1,50.0,At Risk,188.72,3.0938,1149.64,2,574.82,2.6459,75,15,0.1333,2010-10-26,2011-10-17,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Medium Risk
12476,15,9,6,60.0,Likely to Stay,2558.41,4.5362,13715.62,38,360.94,1.0461,23,18,2.1111,2010-07-26,2011-12-08,2.379,Increasing,0,"High-Value, Reliable, Recent",Low Risk
12477,9,8,1,88.89,Very Loyal,2378.09,4.1575,20173.64,12,1681.14,1.3947,44,22,0.5455,2010-03-26,2011-11-17,1.055,Stable,0,"High-Value, Reliable, Recent",Low Risk
12478,1,1,0,100.0,Very Loyal,163.36,4.5378,680.99,1,680.99,0.0,25,1,1.0,2011-12-06,2011-12-06,,Insufficient History,1,"Mid-Value, Unreliable, Recent",Low Risk
12479,2,0,2,0.0,Likely to Exit,91.43,2.6123,477.3,3,159.1,1.0,25,2,1.5,2011-11-28,2011-12-06,,Insufficient History,1,"Mid-Value, Unreliable, Recent",High Risk
